date,station_complex,station_complex_id,borough,station_entries
12/31/23,1 Av (L),119,Manhattan,266
12/30/23,1 Av (L),119,Manhattan,13069
12/29/23,1 Av (L),119,Manhattan,13913
12/28/23,1 Av (L),119,Manhattan,12617
12/27/23,1 Av (L),119,Manhattan,11462
12/26/23,1 Av (L),119,Manhattan,9088
12/25/23,1 Av (L),119,Manhattan,4262
12/23/23,1 Av (L),119,Manhattan,9781
12/22/23,1 Av (L),119,Manhattan,14863
12/21/23,1 Av (L),119,Manhattan,16387
12/20/23,1 Av (L),119,Manhattan,16499
12/19/23,1 Av (L),119,Manhattan,17335
12/18/23,1 Av (L),119,Manhattan,15060
12/17/23,1 Av (L),119,Manhattan,12602
12/16/23,1 Av (L),119,Manhattan,17772
12/15/23,1 Av (L),119,Manhattan,18094
12/14/23,1 Av (L),119,Manhattan,19432
12/13/23,1 Av (L),119,Manhattan,18667
12/12/23,1 Av (L),119,Manhattan,18417
12/11/23,1 Av (L),119,Manhattan,16480
12/10/23,1 Av (L),119,Manhattan,11939
12/9/23,1 Av (L),119,Manhattan,19076
12/8/23,1 Av (L),119,Manhattan,19981
12/6/23,1 Av (L),119,Manhattan,19264
12/5/23,1 Av (L),119,Manhattan,18939
12/4/23,1 Av (L),119,Manhattan,16490
12/3/23,1 Av (L),119,Manhattan,12240
12/2/23,1 Av (L),119,Manhattan,18417
12/1/23,1 Av (L),119,Manhattan,19424
11/24/23,1 Av (L),119,Manhattan,6089
11/7/23,1 Av (L),119,Manhattan,19764
12/31/23,103 St (1),309,Manhattan,59
12/30/23,103 St (1),309,Manhattan,6165
12/29/23,103 St (1),309,Manhattan,7181
12/28/23,103 St (1),309,Manhattan,7018
12/27/23,103 St (1),309,Manhattan,6671
12/26/23,103 St (1),309,Manhattan,5983
12/25/23,103 St (1),309,Manhattan,3601
12/23/23,103 St (1),309,Manhattan,5901
12/22/23,103 St (1),309,Manhattan,8487
12/21/23,103 St (1),309,Manhattan,9128
12/20/23,103 St (1),309,Manhattan,9391
12/19/23,103 St (1),309,Manhattan,9362
12/18/23,103 St (1),309,Manhattan,8306
12/17/23,103 St (1),309,Manhattan,5538
12/16/23,103 St (1),309,Manhattan,7498
12/15/23,103 St (1),309,Manhattan,9676
12/14/23,103 St (1),309,Manhattan,9839
12/13/23,103 St (1),309,Manhattan,9895
12/12/23,103 St (1),309,Manhattan,9784
12/11/23,103 St (1),309,Manhattan,9093
12/10/23,103 St (1),309,Manhattan,5686
12/9/23,103 St (1),309,Manhattan,8100
12/8/23,103 St (1),309,Manhattan,10014
12/6/23,103 St (1),309,Manhattan,9892
12/5/23,103 St (1),309,Manhattan,9560
12/4/23,103 St (1),309,Manhattan,8787
12/3/23,103 St (1),309,Manhattan,6118
12/2/23,103 St (1),309,Manhattan,8061
12/1/23,103 St (1),309,Manhattan,9654
11/24/23,103 St (1),309,Manhattan,4658
11/7/23,103 St (1),309,Manhattan,10219
12/31/23,103 St (6),395,Manhattan,29
12/30/23,103 St (6),395,Manhattan,4364
12/29/23,103 St (6),395,Manhattan,6283
12/28/23,103 St (6),395,Manhattan,6368
