stop_name,display_name,constituent_station_names,station_ids,complex_id,gtfs_stop_ids
Astoria-Ditmars Blvd,Astoria-Ditmars Blvd (N W),Astoria-Ditmars Blvd,1,1,R01
Astoria Blvd,Astoria Blvd (N W),Astoria Blvd,2,2,R03
30 Av,30 Av (N W),30 Av,3,3,R04
Broadway,Broadway (N W),Broadway,4,4,R05
36 Av,36 Av (N W),36 Av,5,5,R06
39 Av-Dutch Kills,39 Av-Dutch Kills (N W),39 Av-Dutch Kills,6,6,R08
5 Av/59 St,5 Av/59 St (N R W),5 Av/59 St,8,8,R13
57 St-7 Av,57 St-7 Av (N Q R W),57 St-7 Av,9,9,R14
49 St,49 St (N R W),49 St,10,10,R15
28 St,28 St (R W),28 St,13,13,R18
23 St,23 St (R W),23 St,14,14,R19
8 St-NYU,8 St-NYU (R W),8 St-NYU,16,16,R21
Prince St,Prince St (R W),Prince St,17,17,R22
City Hall,City Hall (R W),City Hall,20,20,R24
Rector St,Rector St (R W),Rector St,22,22,R26
DeKalb Av,DeKalb Av (B Q R),DeKalb Av,26,26,R30
Union St,Union St (R),Union St,28,28,R32
Prospect Av,Prospect Av (R),Prospect Av,30,30,R34
25 St,25 St (R),25 St,31,31,R35
36 St,36 St (D N R),36 St,32,32,R36
45 St,45 St (R),45 St,33,33,R39
53 St,53 St (R),53 St,34,34,R40
59 St,59 St (N R),59 St,35,35,R41
Bay Ridge Av,Bay Ridge Av (R),Bay Ridge Av,36,36,R42
77 St,77 St (R),77 St,37,37,R43
86 St,86 St (R),86 St,38,38,R44
Bay Ridge-95 St,Bay Ridge-95 St (R),Bay Ridge-95 St,39,39,R45
7 Av,7 Av (B Q),7 Av,41,41,D25
Prospect Park,Prospect Park (B Q S),Prospect Park,42,42,D26
Parkside Av,Parkside Av (Q),Parkside Av,43,43,D27
Church Av,Church Av (B Q),Church Av,44,44,D28
Beverley Rd,Beverley Rd (Q),Beverley Rd,45,45,D29
Cortelyou Rd,Cortelyou Rd (Q),Cortelyou Rd,46,46,D30
Newkirk Plaza,Newkirk Plaza (B Q),Newkirk Plaza,47,47,D31
Avenue H,Avenue H (Q),Avenue H,48,48,D32
Avenue J,Avenue J (Q),Avenue J,49,49,D33
Avenue M,Avenue M (Q),Avenue M,50,50,D34
Kings Hwy,Kings Hwy (B Q),Kings Hwy,51,51,D35
Avenue U,Avenue U (Q),Avenue U,52,52,D37
Neck Rd,Neck Rd (Q),Neck Rd,53,53,D38
Sheepshead Bay,Sheepshead Bay (B Q),Sheepshead Bay,54,54,D39
Brighton Beach,Brighton Beach (B Q),Brighton Beach,55,55,D40
Ocean Pkwy,Ocean Pkwy (Q),Ocean Pkwy,56,56,D41
W 8 St-NY Aquarium,W 8 St-NY Aquarium (F Q),W 8 St-NY Aquarium,57,57,D42
Coney Island-Stillwell Av,Coney Island-Stillwell Av (D F N Q),Coney Island-Stillwell Av,58,58,D43
9 Av,9 Av (D),9 Av,59,59,B12
Fort Hamilton Pkwy,Fort Hamilton Pkwy (D),Fort Hamilton Pkwy,60,60,B13
50 St,50 St (D),50 St,61,61,B14
55 St,55 St (D),55 St,62,62,B15
71 St,71 St (D),71 St,64,64,B17
79 St,79 St (D),79 St,65,65,B18
18 Av,18 Av (D),18 Av,66,66,B19
20 Av,20 Av (D),20 Av,67,67,B20
Bay Pkwy,Bay Pkwy (D),Bay Pkwy,68,68,B21
25 Av,25 Av (D),25 Av,69,69,B22
